#Name	NumConnected
OR5V1	8514
GLB1	8514
TINF2	8514
GNRH2	8514
NKX3-2	8514
PITPNM3	8514
GNRH1	8514
MDGA1	0
ADAM10	8514
ADAM11	8514
ADAM12	8518
ADAM15	8518
ADAM17	8515
ADAM19	8518
GLYATL3	8514
MEPE	8514
CPNE3	0
CPNE1	0
CPNE7	0
CPNE6	0
SLC16A2	0
WNT8A	8514
WNT8B	8514
PYCARD	8514
DNMT3B	8514
DNMT3A	8514
DNMT3L	8514
AAK1	8514
SNRPN	8514
GDE1	8515
SNRPB	8514
SNRPC	8514
SNRPA	8514
SHANK3	8514
SHANK2	8514
SHANK1	8514
SNRPE	8514
RGS9BP	8514
PCSK9	8514
PCSK2	8515
PRKAG3	8514
PCSK1	8515
PCSK6	8515
PCSK5	8515
HIPK2	8514
HIPK1	8514
LEMD3	8514
LEMD2	8514
CD180	8516
NCAN	8514
NAPG	8514
ESPL1	8514
NAPB	8514
NAPA	8514
YAF2	8514
DDX49	8514
COL15A1	8514
DDX41	8514
ZNF175	8514
DDX42	8514
DDX47	8514
DDX46	8514
PTEN	8514
PLTP	8514
EIF5A2	0
LGR5	8514
LGR4	8514
LGR6	8514
ELAVL1	8514
ELAVL2	8514
CDKN1C	8514
CDKN1B	8514
CDKN1A	8514
UBE2D2	8514
UBE2D3	8514
UBE2D1	8514
DPYSL5	8514
EDNRA	8514
EDNRB	8514
SAP130	8514
APOF	8515
APOD	0
APOE	8514
APOB	8514
FARSB	8516
APOO	8514
APOM	0
NFIL3	8514
CACFD1	8514
REG3A	0
CCDC59	8514
TMEM129	8514
PAXIP1	8514
SULT4A1	8514
SLC35B3	8514
SLC35B2	8514
FBXO30	8514
FBXO31	8514
FBXO32	8514
IGFBP6	8514
OR2I1P	8514
PELP1	8514
MBOAT2	8514
MBOAT1	8514
MBOAT7	8514
MBOAT4	8515
SPSB3	8514
SPSB2	8514
SPSB1	8514
SPSB4	8514
BPGM	0
UNC79	8514
CDC34	8514
CDC37	8514
OR2A1	8514
ALAS1	8514
ALAS2	8514
OR2A2	8514
OR2A5	8514
OR2A4	8514
OR2A7	8514
PTTG1	8514
S100A7	0
BRWD1	8514
S100A1	8514
OR2T33	8514
SEC22C	8514
LONRF1	8514
BIRC3	8514
BIRC2	8514
IRAK3	8515
APBA1	8514
APBA3	8514
APBA2	8514
PGLS	8514
OR9G1	8514
MORC2	8514
PTPRZ1	8514
MEF2C	8514
CCNA2	8514
DYSF	8514
CCNA1	8514
DYNC1I1	8514
VPS28	8514
DYNC1I2	8514
ATP13A5	0
ATP13A4	0
SKA1	8514
RAI1	8515
SKA2	8514
COL28A1	8514
OR1C1	8514
PRKRA	8514
ADAT1	0
ADAT3	2
ADAT2	2
TTBK2	8514
E2F7	8514
E2F6	8514
E2F5	8514
